@relation online_book
@attribute candidateID numeric
@attribute matchingCandidate string
@attribute Affix-Matcher real
@attribute Datatype-Matcher real
@attribute Levenstein-Matcher real
@attribute LevenshteinPaths-Matcher real
@attribute NGram2-Matcher real
@attribute NGram3-Matcher real
@attribute Soundex-Matcher real
@attribute Synonym-Matcher real
@attribute DamerauLevenshtein-Matcher real
@attribute DamerauLevenshteinPaths-Matcher real
@attribute ISub-Matcher real
@attribute ISubPaths-Matcher real
@attribute Jaccard-Matcher real
@attribute JaccardPaths-Matcher real
@attribute Jaro-Matcher real
@attribute JaroPaths-Matcher real
@attribute Jaro-Winkler-Matcher real
@attribute JaroWinklerPaths-Matcher real
@attribute JensenShannon-Matcher real
@attribute JensenShannonPaths-Matcher real
@attribute Level2-Jaro-Matcher real
@attribute Level2-Jaro-Winkler-Matcher real
@attribute Level2-Monge-Elkan-Matcher real
@attribute Monge-Elkan-Matcher real
@attribute MongeElkanPaths-Matcher real
@attribute Scaled-Levensten-Matcher real
@attribute SmithWaterman-Matcher real
@attribute SmithWatermanPaths-Matcher real
@attribute SorensenDice-Matcher real
@attribute SorensenDicePaths-Mathcer real
@attribute Unsmoothed-Jensen-Shannon-Matcher real
@attribute UnsmoothedJSPaths-Matcher real
@attribute Children-Matcher real
@attribute Leaves-Matcher real
@attribute Name-Matcher real
@attribute NamePath-Matcher real
@attribute TypeName-Matcher real
@attribute Siblings-Matcher real
@attribute simpleMatcherAvg real
@attribute hybridMatcherAvg real
@attribute structuralMatcherAvg real
@attribute allMatchersAverage real
@attribute matching {true,false}
@data
0,0[0]-0[1],0.0000,0.5000,0.1667,0.3214,0.1250,0.1111,0.0000,0.0000,0.1667,0.3214,0.0000,0.4504,0.0000,0.1250,0.0000,0.5087,0.0000,0.5087,0.3061,0.7551,0.4185,0.4407,0.4400,0.3200,0.4615,0.3214,0.0833,0.2143,0.0000,0.2941,0.0000,0.0000,0.2181,0.4196,0.0972,0.3852,0.2181,0.2181,0.2300,0.2594,0.3102,0.2370,false
1,0[0]-1[1],0.0000,0.5000,0.1667,0.3636,0.1667,0.1944,0.2500,0.0000,0.1667,0.3636,0.0000,0.4924,0.0000,0.0000,0.0000,0.5347,0.0000,0.5347,0.5467,0.7287,0.3259,0.3259,0.4400,0.2000,0.4615,0.3636,0.1667,0.2727,0.0000,0.2424,0.0000,0.0000,0.2861,0.3658,0.1944,0.3083,0.2861,0.2861,0.2440,0.2878,0.3116,0.2531,false
2,0[0]-2[1],0.0000,1.0000,0.0833,0.2857,0.0833,0.0833,0.0000,0.0000,0.0833,0.2857,0.0000,0.4563,0.0000,0.0000,0.0000,0.5087,0.0000,0.5087,0.2476,0.6638,0.3185,0.3506,0.4933,0.4800,0.4615,0.3571,0.2083,0.2143,0.0000,0.2162,0.0000,0.0000,0.3509,0.4727,0.0727,0.2467,0.3509,0.3509,0.2309,0.3075,0.3553,0.2470,false
3,0[0]-3[1],0.0000,1.0000,0.0909,0.2963,0.0909,0.0606,0.0000,0.0000,0.0909,0.2963,0.0000,0.4626,0.0000,0.0000,0.0000,0.5122,0.0000,0.5122,0.1303,0.6129,0.2926,0.2926,0.4667,0.4000,0.4615,0.3333,0.1818,0.2222,0.0000,0.2105,0.0000,0.0000,0.3311,0.4727,0.0444,0.2467,0.3311,0.3311,0.2193,0.2929,0.3454,0.2349,false
4,0[0]-4[1],0.0000,0.0000,0.0000,0.3000,0.0000,0.0000,0.2500,0.0000,0.0000,0.3000,0.0000,0.5110,0.0000,0.0000,0.0000,0.6030,0.0000,0.6030,0.2230,0.7579,0.2981,0.2981,0.4400,0.3000,0.4615,0.3000,0.2000,0.3000,0.0000,0.2581,0.0000,0.0000,0.0000,0.2158,0.0000,0.3083,0.0000,0.0000,0.2001,0.0874,0.1310,0.1792,false
5,0[0]-5[1],0.0000,0.5000,0.2000,0.3333,0.1000,0.2000,0.2500,0.0000,0.2000,0.3333,0.0000,0.5328,0.0000,0.0000,0.5667,0.5616,0.5667,0.5616,0.3021,0.7302,0.3407,0.3407,0.5000,0.5000,0.4615,0.3333,0.2000,0.3333,0.0000,0.2759,0.0000,0.0000,0.2900,0.3658,0.2000,0.3083,0.2900,0.2900,0.2882,0.2907,0.3135,0.2893,false
6,0[0]-6[1],0.0000,0.0000,0.0667,0.2667,0.0667,0.0667,0.0000,0.0000,0.0667,0.2667,0.0000,0.5592,0.0000,0.0000,0.4222,0.5912,0.4222,0.5912,0.3782,0.6999,0.2926,0.2926,0.4400,0.3200,0.4615,0.2667,0.0667,0.4000,0.0000,0.3077,0.0000,0.0000,0.1003,0.2026,0.0933,0.3524,0.0653,0.0653,0.2285,0.1465,0.1801,0.2133,false
7,0[0]-7[1],0.0000,1.0000,0.0833,0.3478,0.0833,0.0833,0.0000,0.0000,0.0833,0.3478,0.0000,0.4924,0.0000,0.1250,0.0000,0.0000,0.0000,0.4000,0.2476,0.6461,0.4346,0.4523,0.4933,0.4800,0.4615,0.4348,0.2083,0.2609,0.0000,0.2941,0.0000,0.0000,0.3509,0.4919,0.0727,0.2741,0.3509,0.3509,0.2331,0.3152,0.3669,0.2504,false
8,0[0]-8[1],0.0000,1.0000,0.0909,0.3636,0.0909,0.0606,0.0000,0.0000,0.0909,0.3636,0.0000,0.5013,0.0000,0.1250,0.0000,0.6634,0.0000,0.7981,0.1303,0.5936,0.2889,0.3067,0.4667,0.4000,0.4615,0.4091,0.1818,0.2727,0.0000,0.3030,0.0000,0.0000,0.3311,0.4919,0.0444,0.2741,0.3311,0.3311,0.2488,0.3006,0.3570,0.2603,false
9,0[0]-9[1],0.0000,0.5000,0.0000,0.4118,0.0000,0.0000,0.2500,0.0000,0.0000,0.4118,0.0000,0.5454,0.0000,0.2000,0.0000,0.0000,0.0000,0.4000,0.1822,0.7570,0.3333,0.3333,0.4400,0.2400,0.4615,0.4118,0.1667,0.3529,0.0000,0.4348,0.0000,0.4046,0.1500,0.4967,0.0000,0.4952,0.1500,0.1500,0.2262,0.2403,0.3230,0.2309,false
